,nctid,title
0,NCT01187615,"Determination of Safety, Efficacy, and Pharmacokinetics of Regorafenib Combined With Pemetrexed and Cisplatin in Patients With Nonsquamous Non-Small Cell Lung Cancer"
1,NCT01046487,Imatinib Mesylate And Cyclophosphamide In Metronomic Administration: Dose Escalation Study Of Imatinib Mesylate
2,NCT01381887,A Study to Evaluate the Effect of JNJ-28431754 (Canagliflozin) on Post-Meal Glucose in Patients With Type 2 Diabetes Mellitus
3,NCT02015676,A Study of Herceptin (Trastuzumab) in Combination Chemotherapy in Patients With Metastatic or Locally Advanced Breast Cancer
4,NCT01813955,Phosphodiesterase (PDE) Inhibitors Effect on Cognitive Deficits Associated to Schizophrenia
5,NCT01213160,Study to Assess Safety and Tolerability of AZD4547 in Japanese Patient
6,NCT00722293,"A Phase I, Open-label, Study of Pazopanib in Combination With Epirubicin or Doxorubicin for Advanced Solid Tumors"
7,NCT00451880,Study of XL281 in Adults With Solid Tumors
8,NCT00096304,Epirubicin and Docetaxel in Treating Patients With Metastatic Prostate Cancer
9,NCT00129896,Neoadjuvant Chemotherapy With Myocet/Taxotere/Herceptin for HER2 Positive Breast Cancer Patients
10,NCT00315861,Topotecan in Combination With Pemetrexed in Patients With Advanced Malignancies
11,NCT01064622,Gemcitabine Hydrochloride With or Without Vismodegib in Treating Patients With Recurrent or Metastatic Pancreatic Cancer
12,NCT01925300,Pharmacokinetic Interactions of Bisoprolol and Rosuvastatin
13,NCT01111188,Trial of PD 0332991 Plus Bortezomib in Patients With Relapsed Mantle Cell Lymphoma
14,NCT00560352,Safety Study of Dasatinib With Bortezomib (Velcade®) and Dexamethasone for Multiple Myeloma
15,NCT01292798,Ranibizumab 0.5mg and 2.0mg to Treat Diabetic Macular Edema in Patients With Poor Response to Bevacizumab
16,NCT01273558,A Study of Two Methods for Determining the Renal Threshold for Glucose in Patients With Type 2 Diabetes Mellitus
17,NCT00730392,Etanercept in New Onset Type 1 Diabetes
18,NCT01101594,A Study of hLL1-DOX (Milatuzumab-Doxorubicin Antibody-Drug Conjugate) in Patients With Multiple Myeloma
19,NCT00379080,Tandutinib in Treating Patients With Recurrent or Progressive Glioblastoma
20,NCT00735878,Pharmacokinetic & Pharmacodynamic Study of ABT-751 With Carboplatin in Patients With Advanced Lung Cancer
21,NCT00494221,A Phase I/II Study of Cediranib (AZD2171) in Japanese Metastatic Colorectal Cancer Patients in Combination With FOLFOX
22,NCT02012166,"A Study of MK-0893 on Glucagon-Induced Glycemic Excursion in Healthy Male Participants Following Intravenous Administration of Glucagon, Sandostatine® and Insulin (MK-0893-002)"
23,NCT00543114,Dose Escalation Study of Revlimid With Fludarabine-Rituximab for CLL/SLL
24,NCT01575405,A Study to Compare Three Different Formulations of Tenofovir 1% Gel When Administered Rectally
25,NCT00068757,"Lonafarnib, Trastuzumab, and Paclitaxel in Treating Patients With HER2/Neu-Overexpressing Stage IIIB, Stage IIIC, or Stage IV Breast Cancer"
26,NCT00096707,Dose Escalation Trial of 2-Deoxy-D-Glucose (2DG) in Subjects With Advanced Solid Tumors
27,NCT01192165,"Safety and Tolerability Study of GSK1120212, a MEK Inhibitor, in Combination With Docetaxel, Erlotinib, Pemetrexed, Pemetrexed + Carboplatin, Pemetrexed + Cisplatin, or Nab-Paclitaxel"
28,NCT00473486,Study in Patients With Advanced Non-Small Cell Lung Cancer Treated With Pemetrexed and Carboplatin Plus or Minus Sorafenib
29,NCT01028248,Lucentis for Macular Edema Associated With Central Retinal Vein Occlusion
30,NCT00612794,"A Study to Examine Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Exenatide Once Weekly in Japanese Patients With Type 2 Diabetes"
31,NCT00361244,SU011248 in Combination With Irinotecan and Cetuximab as a Second Line Regimen for Stage IV Colorectal Cancer
32,NCT01154062,A Study to Evaluate Pazopanib Tablets in Patients Who Have Neovascular Age-related Macular Degeneration
